"type","title","url","meta"
"video","Dynamic Memory Allocation","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/NzU0","Duration: 18 min, 50 sec"
"article","Address and Dereference Operators in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/article/NzU5Mg%3D%3D","Last Updated: 2025-01-15"
"video","Command Line Argument","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjU3MQ%3D%3D","Duration: 3 min, 32 sec"
"video","Smart Pointer Introduction","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MTYyMA%3D%3D","Duration: 13 min, 55 sec"
"video","unique_ptr, shared_ptr and weak_ptr in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MTYyMQ%3D%3D","Duration: 20 min, 49 sec"
"video","File Handling in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjU2NQ%3D%3D","Duration: 2 min, 53 sec"
"video","Reading from a file","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjU2Ng%3D%3D","Duration: 3 min, 1 second"
"video","Writing to a file","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjU2Nw%3D%3D","Duration: 2 min, 43 sec"
"video","Function Pointers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjQzMQ%3D%3D","Duration: 7 min, 38 sec"
"video","Passing Functions as Parameters","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjQzMw%3D%3D","Duration: 5 min, 27 sec"
"article","Command Line Argument","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1MA%3D%3D","Last Updated: 2025-02-03"
"article","Smart Pointer Introduction","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1MQ%3D%3D","Last Updated: 2025-02-05"
"article","unique_ptr, shared_ptr and weak_ptr in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1Mg%3D%3D","Last Updated: 2025-02-07"
"article","File Handling in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk3OQ%3D%3D","Last Updated: 2025-02-05"
"article","Reading from a file","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/NzYwMg%3D%3D","Last Updated: 2025-02-05"
"article","Writing to a file","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/NzY2OA%3D%3D","Last Updated: 2025-02-05"
"article","Function Pointers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/NzYwMQ%3D%3D","Last Updated: 2025-02-05"
"article","Passing Functions as Parameters","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1NA%3D%3D","Last Updated: 2025-02-05"
"article","Lambda expression in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/Njk1Mw%3D%3D","Last Updated: 2025-02-05"
"article","More Examples of Lambda Expressions","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/MTUxNDM%3D","Last Updated: 2025-03-06"
"article","Capture List in Lambda Expressions","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/article/MTUxNDQ%3D","Last Updated: 2025-02-17"
"video","Lamda Expressions in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjQzMg%3D%3D","Duration: 5 min, 33 sec"
"video","More Examples of Lamda Expressions","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjQzNA%3D%3D","Duration: 4 min, 14 sec"
"video","Capture List in Lamda Expressions","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/video/MjQzNQ%3D%3D","Duration: 4 min, 18 sec"
"video","Input in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/video/MTIxNg%3D%3D","Duration: 8 min, 34 sec"
"video","Output in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/video/MTIyMA%3D%3D","Duration: 9 min, 37 sec"
"video","Escape Sequences in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/video/MjMzNw%3D%3D","Duration: 5 min, 13 sec"
"video","Class and Objects in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2/video/MTIyNw%3D%3D","Duration: 10 min, 37 sec"
"video","Constructors","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2/video/MTIxMw%3D%3D","Duration: 3 min, 25 sec"
"video","This Reference","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2/video/MTIyMw%3D%3D","Duration: 4 min, 55 sec"
"video","Class Members and Access Specifiers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2/video/MTIzMQ%3D%3D","Duration: 10 min, 53 sec"
"video","Static Members","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2/video/MTIyMQ%3D%3D","Duration: 9 min, 18 sec"
"video","Final Keyword","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2/video/MTIxNQ%3D%3D","Duration: 10 min, 34 sec"
"article","Java User Input - Scanner Class","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/article/NDk5ODIy","Last Updated: 2025-07-23"
"article","System.out.println in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/article/MzYzMTM3","Last Updated: 2025-10-23"
"article","Escape Sequences in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/article/NDAxMTY2","Last Updated: 2023-11-01"
"video","Arrays in Java introduction","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjEzNA%3D%3D","Duration: 8 min, 32 sec"
"video","[ ]a vs a[ ] in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjEzMQ%3D%3D","Duration: 2 min, 27 sec"
"video","Array Working and Types","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjEzMg%3D%3D","Duration: 13 min, 19 sec"
"video","Multidimensional array in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MTQ2NQ%3D%3D","Duration: 7 min, 41 sec"
"video","Check If Array is Sorted","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjIyMg%3D%3D","Duration: 6 min, 25 sec"
"video","Count Distinct Elements","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjIyNA%3D%3D","Duration: 11 min, 42 sec"
"video","Maximum in an Array","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjYwNg%3D%3D","Duration: 5 min, 43 sec"
"video","Sum of an Array","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MjYwNw%3D%3D","Duration: 3 min, 21 sec"
"video","Find Average","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2/video/MTU0OTg%3D","Duration: 7 min, 3 sec"
"video","Variables and Primitive DataTypes","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/MTIyNg%3D%3D","Duration: 15 min, 2 sec"
"video","Non Primitive DataTypes","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/MTIxOA%3D%3D","Duration: 8 min, 44 sec"
"video","Swap Two Numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/MjI0Ng%3D%3D","Duration: 4 min, 39 sec"
"video","Wrapper Classes in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/NzMx","Duration: 4 min, 7 sec"
"video","Autoboxing and Unboxing in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/MjA4Ng%3D%3D","Duration: 3 min, 1 second"
"video","Type Conversion in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/MjA4OA%3D%3D","Duration: 6 min, 8 sec"
"article","Java Variables","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQwODY2","Last Updated: 2025-11-11"
"article","Java Data Types","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTM5NzA4","Last Updated: 2026-01-02"
"article","Java Program to Swap two Variables","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/NDA4OTc1","Last Updated: 2025-07-12"
"article","Wrapper Classes in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQwMTcy","Last Updated: 2025-11-22"
"article","Autoboxing and Unboxing in Java","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQxMzY0","Last Updated: 2025-08-02"
"article","Type Conversion in Java with Examples","https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/article/MTQwNDI2","Last Updated: 2025-03-24"
"video","Background Part 1 (IO Devices, CPU and Memory)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MTkzMQ%3D%3D","Duration: 5 min, 31 sec"
"video","Background Part 2 (Computer Organization & Operating System)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MTk0Mg%3D%3D","Duration: 3 min, 16 sec"
"video","Why Do We Need Programming Languages","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjIxNA%3D%3D","Duration: 3 min, 25 sec"
"video","C++ Introduction","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjMzNg%3D%3D","Duration: 4 min, 10 sec"
"video","C++ Standards and Implementations","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjMzOQ%3D%3D","Duration: 4 min, 18 sec"
"video","How do C++ Programs Run","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjM0Mg%3D%3D","Duration: 6 min, 7 sec"
"video","Basic Programming Terminology","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjM0MQ%3D%3D","Duration: 10 min, 11 sec"
"video","First C++ Program","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjM0MA%3D%3D","Duration: 8 min, 11 sec"
"video","Comments in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/video/MjMzNQ%3D%3D","Duration: 4 min, 32 sec"
"article","Background Part 1 (IO Devices, CPU and Memory)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NzU2Nw%3D%3D","Last Updated: 2025-01-03"
"article","Background Part 2 (Computer Organization & Operating System)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjY3MQ%3D%3D","Last Updated: 2025-01-02"
"article","Why Do We Need Programming Languages","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjY3Mg%3D%3D","Last Updated: 2025-01-06"
"article","C++ Introduction","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjY3Mw%3D%3D","Last Updated: 2025-01-02"
"article","C++ Standards and Implementation","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/MTQ4OTY%3D","Last Updated: 2025-05-29"
"article","How does a C++ program run","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NzYyNg%3D%3D","Last Updated: 2025-12-29"
"article","Basic Programming Terminology","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NzYyNQ%3D%3D","Last Updated: 2026-01-02"
"article","First C++ Program","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjgxNA%3D%3D","Last Updated: 2025-01-06"
"article","Comments in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2/article/NjgxMg%3D%3D","Last Updated: 2025-01-03"
"video","Variables in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM0Ng%3D%3D","Duration: 3 min, 30 sec"
"video","Variable Naming Rules","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM0Nw%3D%3D","Duration: 3 min, 42 sec"
"video","Data Type in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM0NQ%3D%3D","Duration: 12 min, 54 sec"
"video","Operator sizeof in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM2Nw%3D%3D","Duration: 3 min, 39 sec"
"video","Global Variables and Scope","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM3MA%3D%3D","Duration: 6 min, 49 sec"
"video","Ranges of Data Types in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM3Mw%3D%3D","Duration: 9 min, 53 sec"
"video","Static Variables in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM3NA%3D%3D","Duration: 2 min, 48 sec"
"video","Const in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM2OA%3D%3D","Duration: 4 min, 5 sec"
"video","Auto Keyword in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM3NQ%3D%3D","Duration: 5 min, 1 second"
"video","Swap Two Numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/Mzg2Njg%3D","Duration: 4 min, 12 sec"
"video","Literals in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjM3Ng%3D%3D","Duration: 10 min, 43 sec"
"video","Type Conversion C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/video/MjQyMA%3D%3D","Duration: 9 min, 20 sec"
"article","Variables in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjYxNA%3D%3D","Last Updated: 2025-03-11"
"article","Variable Naming Rules","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/MTQ5MDY%3D","Last Updated: 2025-01-03"
"article","Data Types in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjYxMg%3D%3D","Last Updated: 2025-01-06"
"article","Operator sizeof in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NzU2OA%3D%3D","Last Updated: 2025-01-06"
"article","Global Variables and Scope","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjYxNw%3D%3D","Last Updated: 2025-01-06"
"article","Ranges of Data Types in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjYxOA%3D%3D","Last Updated: 2025-01-06"
"article","Static Variables in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NzU2OQ%3D%3D","Last Updated: 2025-01-06"
"article","Const in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjYyMA%3D%3D","Last Updated: 2025-01-06"
"article","Auto Keyword in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjYyMQ%3D%3D","Last Updated: 2025-01-06"
"article","Swap Two Numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NzU3MA%3D%3D","Last Updated: 2025-01-06"
"article","Literals in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjY0OA%3D%3D","Last Updated: 2025-01-08"
"article","Type Conversion in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2/article/NjY2NQ%3D%3D","Last Updated: 2025-01-07"
"video","Arithmetic Operators","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjM3Nw%3D%3D","Duration: 6 min, 18 sec"
"video","Assignment Operators","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjM3OQ%3D%3D","Duration: 1 minute, 59 sec"
"video","Comparison Operators","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjM4MA%3D%3D","Duration: 3 min, 45 sec"
"video","Logical Operators","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjM4Mw%3D%3D","Duration: 6 min, 25 sec"
"video","Operator Precedence and Associativity","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjM4NA%3D%3D","Duration: 5 min, 7 sec"
"video","Binary Representation of Negative Numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MTQ3Njg%3D","Duration: 10 min, 21 sec"
"video","Bitwise Operators in CPP (Part 1)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/NzczOQ%3D%3D","Duration: 4 min, 59 sec"
"video","Bitwise Operators in CPP (Part 2)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/Nzc0MA%3D%3D","Duration: 11 min, 9 sec"
"video","Day Before N Days","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjI5Ng%3D%3D","Duration: 3 min, 25 sec"
"video","Last Digit of a Number","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjMxNw%3D%3D","Duration: 2 min, 33 sec"
"video","Sum of Natural Numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjMxOA%3D%3D","Duration: 3 min, 42 sec"
"video","Arithmetic Progression","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjU2OA%3D%3D","Duration: 2 min, 43 sec"
"video","Geometric Progression","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/video/MjU3MA%3D%3D","Duration: 2 min, 13 sec"
"article","Binary Representation of Negative Numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/MTQ5NTQ%3D","Last Updated: 2025-01-29"
"article","Arithmetic Operators","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/Njc0MA%3D%3D","Last Updated: 2025-05-29"
"article","Logical Operators","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/Njc0MQ%3D%3D","Last Updated: 2025-05-29"
"article","Assignment Operator","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/Njc3Mw%3D%3D","Last Updated: 2025-01-06"
"article","Operator Precedence and Associativity","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NjgwMQ%3D%3D","Last Updated: 2024-12-03"
"article","BITWISE OPERATOR (Part 1 and Part2)","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NjgwNA%3D%3D","Last Updated: 2025-01-06"
"article","Last Digit of a Number","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NzUwMw%3D%3D","Last Updated: 2025-12-31"
"article","Comparison Operator","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NzUwNQ%3D%3D","Last Updated: 2025-01-06"
"article","Day before N days","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NzYyOQ%3D%3D","Last Updated: 2025-12-30"
"article","AP Term","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NzYzMA%3D%3D","Last Updated: 2025-12-31"
"article","Geometric Progression","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/NzYzMQ%3D%3D","Last Updated: 2025-01-07"
"article","Sum of Natural numbers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/article/ODQ0NQ%3D%3D","Last Updated: 2024-12-03"
"video","If Else Syntax in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/video/MjM1MQ%3D%3D","Duration: 4 min, 8 sec"
"video","If Else Example in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/video/MjM1MA%3D%3D","Duration: 2 min, 32 sec"
"video","Else If with Example","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/video/MjM1Mw%3D%3D","Duration: 3 min, 49 sec"
"video","Nested If Else with Example","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/video/MjM1Mg%3D%3D","Duration: 5 min, 25 sec"
"video","Switch in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/video/MjM2MA%3D%3D","Duration: 5 min, 46 sec"
